ds,y,yhat,yhat_lower,yhat_upper,Forecast_Anomaly
2020-08-27,28492.27,27498.76511241418,26408.000345586832,28556.510148500838,0
2020-08-28,28653.87,27516.152927042072,26514.71013538815,28681.893771514504,0
2020-08-31,28430.05,27509.242288167465,26400.79912362696,28646.053361580896,0
2020-09-01,28645.66,27521.962689024655,26437.074096638225,28640.174728649272,1
2020-09-02,29100.5,27505.56765314269,26417.62939985801,28608.91629388018,1
2020-09-03,28292.73,27488.808292606616,26416.45228909766,28569.253757829156,0
2020-09-04,28133.31,27493.44583539336,26409.77352935856,28590.437194688686,0
2020-09-08,27500.89,27462.571867355284,26318.557007802654,28586.63592792732,0
2020-09-09,27940.47,27440.5355105323,26367.71708549821,28506.88857589419,0
2020-09-10,27534.58,27419.432132828948,26212.99069016549,28459.499070014732,0
2020-09-11,27665.64,27420.930542144102,26278.141729869596,28527.547216906238,0
2020-09-14,27993.33,27381.0896087477,26287.968748871954,28489.736900508946,0
2020-09-15,27995.6,27387.391928380293,26284.912341292234,28483.391443286608,0
2020-09-16,28032.38,27366.6188787339,26326.083245373004,28446.01856282271,0
2020-09-17,27901.98,27347.358166457812,26335.323178316045,28509.043345141556,0
2020-09-18,27657.42,27351.206029127814,26218.913255204174,28411.26678138161,0
2020-09-21,27147.7,27321.010664785783,26242.624176428737,28409.2894387532,0
2020-09-22,27288.18,27331.347657276856,26328.748635081603,28425.56084963021,0
2020-09-23,26763.13,27314.571186351648,26247.33147626384,28389.03367147695,0
2020-09-24,26815.44,27299.78779802958,26210.34642817543,28453.984815993506,0
2020-09-25,27173.96,27308.652549702987,26283.862147647822,28383.36992193393,0
2020-09-28,27584.06,27297.487106867826,26169.428825273215,28416.245864503016,0
2020-09-29,27452.66,27315.76446976195,26218.64601948286,28448.650273882682,0
2020-09-30,27781.7,27308.333935224786,26230.588587334965,28460.056474917223,0
2020-10-01,27816.9,27303.89513621851,26225.199544025174,28341.338901204494,0
2020-10-02,27682.81,27324.158168428166,26260.46280103996,28430.453190034088,0
2020-10-05,28148.64,27353.792525489287,26295.312044380287,28449.066491520705,0
2020-10-06,27772.76,27387.85846425665,26338.95510790302,28469.154761480244,0
2020-10-07,28303.46,27397.245011729832,26321.710779908244,28562.856443464916,0
2020-10-08,28425.51,27410.575560632737,26345.38833339711,28548.829101600277,0
2020-10-09,28586.9,27449.460236499322,26283.644488481033,28528.25285421827,1
2020-10-12,28837.52,27538.75713235818,26423.74505547034,28613.25751492867,1
2020-10-13,28679.81,27593.451947195805,26493.201191275068,28653.429161951954,1
2020-10-14,28514.0,27623.545440837534,26509.316275497556,28694.694615367458,0
2020-10-15,28494.2,27657.47590990466,26600.46561262578,28769.652299745743,0
2020-10-16,28606.31,27716.66825975337,26564.550437818234,28860.250327891303,0
2020-10-19,28195.42,27863.373909460504,26769.085218863012,28953.497910757134,0
2020-10-20,28308.79,27935.505913064233,26829.816868106416,29074.366727758494,0
2020-10-21,28210.82,27981.965323835117,26871.03681867325,29082.54104448578,0
2020-10-22,28363.66,28031.088479950078,27014.162813975905,29146.43343229322,0
2020-10-23,28335.57,28104.22163184789,26972.624910116545,29170.7647921456,0
2020-10-26,27685.38,28284.81224332473,27186.680416880765,29481.46244012919,0
2020-10-27,27463.19,28365.567468033405,27305.448126014286,29516.9348847475,0
2020-10-28,26519.95,28419.353596103738,27153.37434434875,29528.67396222232,1
2020-10-29,26659.11,28474.556615247766,27356.340820316433,29576.60299017261,1
2020-10-30,26501.6,28552.585090545435,27484.20702936001,29615.19089758354,1
